year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,ILLINOIS,IL,ADAMS,17001,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,8633,33527,20220315,TOTAL
2020,ILLINOIS,IL,ADAMS,17001,US PRESIDENT,OTHER,GREEN,102,33527,20220315,TOTAL
2020,ILLINOIS,IL,ADAMS,17001,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,483,33527,20220315,TOTAL
2020,ILLINOIS,IL,ADAMS,17001,US PRESIDENT,OTHER,OTHER,89,33527,20220315,TOTAL
2020,ILLINOIS,IL,ADAMS,17001,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,24220,33527,20220315,TOTAL
2020,ILLINOIS,IL,ALEXANDER,17003,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1114,2618,20220315,TOTAL
2020,ILLINOIS,IL,ALEXANDER,17003,US PRESIDENT,OTHER,GREEN,5,2618,20220315,TOTAL
2020,ILLINOIS,IL,ALEXANDER,17003,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,7,2618,20220315,TOTAL
2020,ILLINOIS,IL,ALEXANDER,17003,US PRESIDENT,OTHER,OTHER,6,2618,20220315,TOTAL
2020,ILLINOIS,IL,ALEXANDER,17003,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1486,2618,20220315,TOTAL
2020,ILLINOIS,IL,BOND,17005,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2288,8145,20220315,TOTAL
2020,ILLINOIS,IL,BOND,17005,US PRESIDENT,OTHER,GREEN,41,8145,20220315,TOTAL
2020,ILLINOIS,IL,BOND,17005,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,158,8145,20220315,TOTAL
2020,ILLINOIS,IL,BOND,17005,US PRESIDENT,OTHER,OTHER,33,8145,20220315,TOTAL
2020,ILLINOIS,IL,BOND,17005,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5625,8145,20220315,TOTAL
2020,ILLINOIS,IL,BOONE,17007,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,10542,24979,20220315,TOTAL
2020,ILLINOIS,IL,BOONE,17007,US PRESIDENT,OTHER,GREEN,146,24979,20220315,TOTAL
2020,ILLINOIS,IL,BOONE,17007,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,360,24979,20220315,TOTAL
2020,ILLINOIS,IL,BOONE,17007,US PRESIDENT,OTHER,OTHER,48,24979,20220315,TOTAL
2020,ILLINOIS,IL,BOONE,17007,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,13883,24979,20220315,TOTAL
2020,ILLINOIS,IL,BROWN,17009,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,486,2521,20220315,TOTAL
2020,ILLINOIS,IL,BROWN,17009,US PRESIDENT,OTHER,GREEN,10,2521,20220315,TOTAL
2020,ILLINOIS,IL,BROWN,17009,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,47,2521,20220315,TOTAL
2020,ILLINOIS,IL,BROWN,17009,US PRESIDENT,OTHER,OTHER,47,2521,20220315,TOTAL
2020,ILLINOIS,IL,BROWN,17009,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,1931,2521,20220315,TOTAL
2020,ILLINOIS,IL,BUREAU,17011,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6669,17434,20220315,TOTAL
2020,ILLINOIS,IL,BUREAU,17011,US PRESIDENT,OTHER,GREEN,95,17434,20220315,TOTAL
2020,ILLINOIS,IL,BUREAU,17011,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,209,17434,20220315,TOTAL
2020,ILLINOIS,IL,BUREAU,17011,US PRESIDENT,OTHER,OTHER,50,17434,20220315,TOTAL
2020,ILLINOIS,IL,BUREAU,17011,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,10411,17434,20220315,TOTAL
2020,ILLINOIS,IL,CALHOUN,17013,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,677,2772,20220315,TOTAL
2020,ILLINOIS,IL,CALHOUN,17013,US PRESIDENT,OTHER,GREEN,8,2772,20220315,TOTAL
2020,ILLINOIS,IL,CALHOUN,17013,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,36,2772,20220315,TOTAL
2020,ILLINOIS,IL,CALHOUN,17013,US PRESIDENT,OTHER,OTHER,5,2772,20220315,TOTAL
2020,ILLINOIS,IL,CALHOUN,17013,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,2046,2772,20220315,TOTAL
2020,ILLINOIS,IL,CARROLL,17015,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2748,8024,20220315,TOTAL
2020,ILLINOIS,IL,CARROLL,17015,US PRESIDENT,OTHER,GREEN,39,8024,20220315,TOTAL
2020,ILLINOIS,IL,CARROLL,17015,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,111,8024,20220315,TOTAL
2020,ILLINOIS,IL,CARROLL,17015,US PRESIDENT,OTHER,OTHER,21,8024,20220315,TOTAL
2020,ILLINOIS,IL,CARROLL,17015,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,5105,8024,20220315,TOTAL
2020,ILLINOIS,IL,CASS,17017,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1615,5317,20220315,TOTAL
2020,ILLINOIS,IL,CASS,17017,US PRESIDENT,OTHER,GREEN,17,5317,20220315,TOTAL
