County,AdministeredCount,AdministeredCountChange,AdministeredCountRollAvg,PersonsWithOneDose,PersonsFullyVaccinated,BoosterDoseCount,Report_Date,PctVaccinatedOneDosePopulation,PctFullyVaccinatedPopulation
ILLINOIS,25438989,21821,16471,9239951,8407978,5162230,2022-12-04T00:00:00Z,0.725209401,0.659910934
ADAMS,87897,18,55,36385,34025,17065,2022-12-04T00:00:00Z,0.553881049,0.517955275
ALEXANDER,4281,1,2,1766,1551,769,2022-12-04T00:00:00Z,0.291419142,0.255940594
BOND,22706,3,13,8337,7885,4434,2022-12-04T00:00:00Z,0.50132291,0.474143115
BOONE,93558,44,40,35241,32758,18563,2022-12-04T00:00:00Z,0.657763593,0.611419079
BROWN,9278,0,1,3826,3547,1865,2022-12-04T00:00:00Z,0.583587553,0.541031117
BUREAU,56235,20,30,20331,18870,11488,2022-12-04T00:00:00Z,0.616221623,0.571939502
CALHOUN,6709,3,2,2497,2374,1347,2022-12-04T00:00:00Z,0.51999167,0.494377343
CARROLL,19953,4,9,7539,7039,4169,2022-12-04T00:00:00Z,0.52676076,0.491825042
CASS,20571,7,11,8154,7528,3817,2022-12-04T00:00:00Z,0.665089723,0.614029364
CHAMPAIGN,421314,245,241,153008,137332,89130,2022-12-04T00:00:00Z,0.728668511,0.654014849
CHICAGO,5579947,5073,3858,2129646,1879023,1139106,2022-12-04T00:00:00Z,0.787010614,0.694392892
CHRISTIAN,44890,18,30,17202,15886,9111,2022-12-04T00:00:00Z,0.5266832,0.486390496
CLARK,20243,4,15,7696,6988,4127,2022-12-04T00:00:00Z,0.493459862,0.448063606
CLAY,13877,3,7,5344,5047,2736,2022-12-04T00:00:00Z,0.403229457,0.380819437
CLINTON,59053,23,25,22918,21455,11614,2022-12-04T00:00:00Z,0.608889715,0.570020458
COLES,65643,30,36,25087,23289,13199,2022-12-04T00:00:00Z,0.493013658,0.45767908
COOK,5488642,5497,3744,1995918,1823884,1130427,2022-12-04T00:00:00Z,0.806594789,0.73707203
CRAWFORD,26081,0,11,10168,9411,5068,2022-12-04T00:00:00Z,0.540649758,0.500398788
CUMBERLAND,11467,0,7,4534,4229,2212,2022-12-04T00:00:00Z,0.419504071,0.391284234
DEKALB,172752,151,92,63525,59346,34076,2022-12-04T00:00:00Z,0.609978587,0.56985107
DE WITT,23388,7,12,8796,8294,4657,2022-12-04T00:00:00Z,0.557803285,0.525968673
DOUGLAS,27232,7,11,10371,9649,5376,2022-12-04T00:00:00Z,0.532419529,0.495353971
DUPAGE,2158492,2221,1454,764602,709557,456982,2022-12-04T00:00:00Z,0.823401957,0.764123848
EDGAR,22362,10,20,8551,7927,4549,2022-12-04T00:00:00Z,0.492569124,0.456624424
EDWARDS,6576,0,3,2562,2460,1286,2022-12-04T00:00:00Z,0.400813517,0.38485607
EFFINGHAM,46343,14,23,17817,16576,9047,2022-12-04T00:00:00Z,0.520843078,0.484565014
FAYETTE,20744,6,10,8331,7741,4153,2022-12-04T00:00:00Z,0.389008218,0.361458722
FORD,22139,2,15,8015,7562,4454,2022-12-04T00:00:00Z,0.604267189,0.570114596
FRANKLIN,47079,3,24,18479,17041,8854,2022-12-04T00:00:00Z,0.477481202,0.440324539
FULTON,57304,23,33,21025,19911,11792,2022-12-04T00:00:00Z,0.603403742,0.571432671
GALLATIN,6841,1,5,2714,2484,1369,2022-12-04T00:00:00Z,0.536575722,0.491103203
GREENE,15458,6,8,6006,5726,2914,2022-12-04T00:00:00Z,0.460441582,0.438975774
GRUNDY,82993,49,39,32078,29722,15987,2022-12-04T00:00:00Z,0.629325904,0.58310445
HAMILTON,8705,0,6,3384,3164,1758,2022-12-04T00:00:00Z,0.414553473,0.387602597
HANCOCK,18586,3,12,7698,7068,3381,2022-12-04T00:00:00Z,0.431405514,0.396099529
HARDIN,4396,1,3,1635,1536,861,2022-12-04T00:00:00Z,0.418158568,0.392838875
HENDERSON,6672,1,4,2539,2337,1348,2022-12-04T00:00:00Z,0.378446862,0.348338053
